,,,,,,,# 
agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2018-10-30 00:00,EDT,106,P,2.22,P
USGS,02085070,2018-10-30 00:15,EDT,106,P,2.22,P
USGS,02085070,2018-10-30 00:30,EDT,104,P,2.21,P
USGS,02085070,2018-10-30 00:45,EDT,104,P,2.21,P
USGS,02085070,2018-10-30 01:00,EDT,104,P,2.21,P
USGS,02085070,2018-10-30 01:15,EDT,104,P,2.21,P
USGS,02085070,2018-10-30 01:30,EDT,103,P,2.20,P
USGS,02085070,2018-10-30 01:45,EDT,103,P,2.20,P
USGS,02085070,2018-10-30 02:00,EDT,103,P,2.20,P
USGS,02085070,2018-10-30 02:15,EDT,103,P,2.20,P
USGS,02085070,2018-10-30 02:30,EDT,101,P,2.19,P
USGS,02085070,2018-10-30 02:45,EDT,101,P,2.19,P
USGS,02085070,2018-10-30 03:00,EDT,101,P,2.19,P
USGS,02085070,2018-10-30 03:15,EDT,101,P,2.19,P
USGS,02085070,2018-10-30 03:30,EDT,99.8,P,2.18,P
USGS,02085070,2018-10-30 03:45,EDT,99.8,P,2.18,P
USGS,02085070,2018-10-30 04:00,EDT,99.8,P,2.18,P
USGS,02085070,2018-10-30 04:15,EDT,99.8,P,2.18,P
USGS,02085070,2018-10-30 04:30,EDT,97.9,P,2.17,P
USGS,02085070,2018-10-30 04:45,EDT,97.9,P,2.17,P
USGS,02085070,2018-10-30 05:00,EDT,97.9,P,2.17,P
USGS,02085070,2018-10-30 05:15,EDT,97.9,P,2.17,P
USGS,02085070,2018-10-30 05:30,EDT,96.0,P,2.16,P
USGS,02085070,2018-10-30 05:45,EDT,96.0,P,2.16,P
USGS,02085070,2018-10-30 06:00,EDT,96.0,P,2.16,P
USGS,02085070,2018-10-30 06:15,EDT,96.0,P,2.16,P
USGS,02085070,2018-10-30 06:30,EDT,96.0,P,2.16,P
USGS,02085070,2018-10-30 06:45,EDT,94.2,P,2.15,P
USGS,02085070,2018-10-30 07:00,EDT,94.2,P,2.15,P
USGS,02085070,2018-10-30 07:15,EDT,94.2,P,2.15,P
USGS,02085070,2018-10-30 07:30,EDT,94.2,P,2.15,P
USGS,02085070,2018-10-30 07:45,EDT,94.2,P,2.15,P
USGS,02085070,2018-10-30 08:00,EDT,94.2,P,2.15,P
USGS,02085070,2018-10-30 08:15,EDT,94.2,P,2.15,P
USGS,02085070,2018-10-30 08:30,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 08:45,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 09:00,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 09:15,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 09:30,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 09:45,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 10:00,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 10:15,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 10:30,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 10:45,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 11:00,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 11:15,EDT,90.6,P,2.13,P
USGS,02085070,2018-10-30 11:30,EDT,90.6,P,2.13,P
USGS,02085070,2018-10-30 11:45,EDT,92.4,P,2.14,P
USGS,02085070,2018-10-30 12:00,EDT,90.6,P,2.13,P
USGS,02085070,2018-10-30 12:15,EDT,90.6,P,2.13,P
USGS,02085070,2018-10-30 12:30,EDT,90.6,P,2.13,P
USGS,02085070,2018-10-30 12:45,EDT,90.6,P,2.13,P
USGS,02085070,2018-10-30 13:00,EDT,90.6,P,2.13,P
USGS,02085070,2018-10-30 13:15,EDT,90.6,P,2.13,P
USGS,02085070,2018-10-30 13:30,EDT,90.6,P,2.13,P
USGS,02085070,2018-10-30 13:45,EDT,88.9,P,2.12,P
USGS,02085070,2018-10-30 14:00,EDT,88.9,P,2.12,P
USGS,02085070,2018-10-30 14:15,EDT,90.6,P,2.13,P
USGS,02085070,2018-10-30 14:30,EDT,90.6,P,2.13,P
USGS,02085070,2018-10-30 14:45,EDT,88.9,P,2.12,P
USGS,02085070,2018-10-30 15:00,EDT,88.9,P,2.12,P
USGS,02085070,2018-10-30 15:15,EDT,88.9,P,2.12,P
USGS,02085070,2018-10-30 15:30,EDT,88.9,P,2.12,P
USGS,02085070,2018-10-30 15:45,EDT,88.9,P,2.12,P
USGS,02085070,2018-10-30 16:00,EDT,88.9,P,2.12,P
USGS,02085070,2018-10-30 16:15,EDT,87.2,P,2.11,P
USGS,02085070,2018-10-30 16:30,EDT,87.2,P,2.11,P
USGS,02085070,2018-10-30 16:45,EDT,87.2,P,2.11,P
USGS,02085070,2018-10-30 17:00,EDT,87.2,P,2.11,P
USGS,02085070,2018-10-30 17:15,EDT,87.2,P,2.11,P
USGS,02085070,2018-10-30 17:30,EDT,87.2,P,2.11,P
USGS,02085070,2018-10-30 17:45,EDT,85.5,P,2.10,P
USGS,02085070,2018-10-30 18:00,EDT,85.5,P,2.10,P
USGS,02085070,2018-10-30 18:15,EDT,85.5,P,2.10,P
USGS,02085070,2018-10-30 18:30,EDT,85.5,P,2.10,P
USGS,02085070,2018-10-30 18:45,EDT,85.5,P,2.10,P
USGS,02085070,2018-10-30 19:00,EDT,85.5,P,2.10,P
USGS,02085070,2018-10-30 19:15,EDT,83.8,P,2.09,P
USGS,02085070,2018-10-30 19:30,EDT,85.5,P,2.10,P
USGS,02085070,2018-10-30 19:45,EDT,83.8,P,2.09,P
USGS,02085070,2018-10-30 20:00,EDT,83.8,P,2.09,P
USGS,02085070,2018-10-30 20:15,EDT,83.8,P,2.09,P
USGS,02085070,2018-10-30 20:30,EDT,83.8,P,2.09,P
